code,brk_height,brk_tt_len,longhu_dis,xt_start,xt_end,brk_end,stage,date
1e60a574a7ac8e6cbc75271200be842c,21.11,5,4,2018-03-12,2018-03-28,2018-04-09,5,2018-03-29
1e60a574a7ac8e6cbc75271200be842c,8.77,2,-1,2018-04-16,2018-05-17,2018-05-21,5,2018-05-18
1e60a574a7ac8e6cbc75271200be842c,20.26,2,1,2018-06-19,2018-08-01,2018-08-03,5,2018-08-02
6fb1e1b2d4e38a2e3922a0a0c664a4ce,7.13,5,-1,2018-02-13,2018-03-05,2018-03-12,5,2018-03-06
6fb1e1b2d4e38a2e3922a0a0c664a4ce,13.57,2,0,2018-06-19,2018-07-13,2018-07-17,5,2018-07-16
6466b7fbbe9438c50f4ee60971a60f70,9.7,1,0,2018-02-22,2018-03-06,2018-03-07,5,2018-03-07
6466b7fbbe9438c50f4ee60971a60f70,8.58,2,-1,2018-03-07,2018-03-20,2018-03-22,5,2018-03-21
6466b7fbbe9438c50f4ee60971a60f70,14.31,2,-1,2018-05-14,2018-05-23,2018-05-25,5,2018-05-24
6466b7fbbe9438c50f4ee60971a60f70,10.08,1,0,2018-06-19,2018-06-29,2018-07-02,5,2018-07-02
6466b7fbbe9438c50f4ee60971a60f70,9.89,1,-1,2018-07-06,2018-07-24,2018-07-25,5,2018-07-25
8348aac11affac0af65a8efee25a1725,14.83,4,0,2018-05-10,2018-05-25,2018-05-31,5,2018-05-28
7ad36c7ae40f79c5c1aef30719dc372f,5.52,2,-1,2018-02-13,2018-02-28,2018-03-02,5,2018-03-01
7ad36c7ae40f79c5c1aef30719dc372f,38.28,4,1,2018-03-02,2018-03-15,2018-03-21,5,2018-03-16
7ad36c7ae40f79c5c1aef30719dc372f,4.22,1,-1,2018-06-19,2018-06-28,2018-06-29,5,2018-06-29
7ad36c7ae40f79c5c1aef30719dc372f,4.56,1,-1,2018-06-29,2018-07-18,2018-07-19,5,2018-07-19
92e9bb0a18e451d774d7ceeecd6c3055,6.28,1,-1,2018-06-08,2018-06-19,2018-06-20,5,2018-06-20
92e9bb0a18e451d774d7ceeecd6c3055,9.65,4,-1,2018-06-27,2018-07-06,2018-07-12,5,2018-07-09
6d16b060b693d6c94d6dbbc11fa50562,5.89,3,-1,2018-02-14,2018-03-08,2018-03-13,5,2018-03-09
6d16b060b693d6c94d6dbbc11fa50562,14.24,2,0,2018-03-13,2018-05-08,2018-05-10,5,2018-05-09
