brk_end,code,created,date,stage,xt_end,xt_start
,382f3e48ae135d69c77df97af7e53ab5,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,382f3e48ae135d69c77df97af7e53ab5,2018-08-29,2018-08-01,4,2018-08-01,2018-07-19
,0e2d4cc8b172381c59db8d1126f0f916,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,0e2d4cc8b172381c59db8d1126f0f916,2018-08-29,2018-07-31,4,2018-07-31,2018-07-19
2018-08-29,3e3ef91a79e6a2a787817ac066043c3f,2018-08-29,2018-08-29,5,2018-08-24,2018-08-07
,3e3ef91a79e6a2a787817ac066043c3f,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,4517c9ba568a1297bdf6220460f0dc81,2018-08-29,2018-08-29,2,2018-08-29,2018-07-18
,f85dc29527030134456b6d99aade2aab,2018-08-29,2018-08-29,2,2018-08-29,2018-08-02
,f85dc29527030134456b6d99aade2aab,2018-08-29,2018-07-27,4,2018-07-27,2018-07-18
,4e0afcba44e9d7dccf16da6409d79d30,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,4e0afcba44e9d7dccf16da6409d79d30,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
2018-08-28,9d5a6b77fbc0aea75919a98cca76ba20,2018-08-29,2018-08-28,6,2018-08-27,2018-07-17
,0a3cc56dfdab307ef7c9a021482456f7,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,0a3cc56dfdab307ef7c9a021482456f7,2018-08-29,2018-08-02,4,2018-08-02,2018-07-17
,45453b1a11a14858d0d8eeffbcc4a832,2018-08-29,2018-08-29,2,2018-08-29,2018-08-07
,45453b1a11a14858d0d8eeffbcc4a832,2018-08-29,2018-07-27,4,2018-07-27,2018-07-17
,72300b2fb7fdb0f77d27931dee47bda4,2018-08-29,2018-08-29,2,2018-08-29,2018-07-26
,9699560d65d8c2fe2c24da9e0c708c87,2018-08-29,2018-08-22,4,2018-08-22,2018-08-06
,9699560d65d8c2fe2c24da9e0c708c87,2018-08-29,2018-08-01,4,2018-08-01,2018-07-19
,8348aac11affac0af65a8efee25a1725,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,8348aac11affac0af65a8efee25a1725,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,163954091dd3c62e24c680f904b7fada,2018-08-29,2018-08-29,2,2018-08-29,2018-07-30
,f4a0e3e7c4452afab34d9f3ff773b730,2018-08-29,2018-08-29,2,2018-08-29,2018-07-19
2018-08-27,01979aa729d8b32e301f7a3b1b726ec5,2018-08-29,2018-08-27,6,2018-08-23,2018-08-06
,01979aa729d8b32e301f7a3b1b726ec5,2018-08-29,2018-07-31,4,2018-07-31,2018-07-19
,330c61471763f99f3f9e1ba2b765f09b,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,330c61471763f99f3f9e1ba2b765f09b,2018-08-29,2018-08-16,4,2018-08-16,2018-08-02
